"","long","lat","group","order","region","subregion"
"18",74.5589904785156,37.2366218566895,2,18,"Afghanistan",NA
"26",74.0388717651367,36.8257331848145,2,26,"Afghanistan",NA
"34",72.7662124633789,36.8350105285645,2,34,"Afghanistan",NA
"42",71.9207000732422,36.5341796875,2,42,"Afghanistan",NA
"50",71.23291015625,36.1217765808105,2,50,"Afghanistan",NA
"58",71.5719757080078,35.5468254089355,2,58,"Afghanistan",NA
"66",71.6205062866211,35.1830062866211,2,66,"Afghanistan",NA
"74",71.11328125,34.6815948486328,2,74,"Afghanistan",NA
"82",71.0890579223633,34.2040557861328,2,82,"Afghanistan",NA
"90",69.9947280883789,34.0518074035645,2,90,"Afghanistan",NA
"98",70.0902328491211,33.1980972290039,2,98,"Afghanistan",NA
"106",69.3594741821289,32.59033203125,2,106,"Afghanistan",NA
"114",68.8689498901367,31.6342296600342,2,114,"Afghanistan",NA
"122",68.2139663696289,31.8073749542236,2,122,"Afghanistan",NA
"130",67.6470642089844,31.4099597930908,2,130,"Afghanistan",NA
"138",67.0277328491211,31.3002433776855,2,138,"Afghanistan",NA
"146",66.3971710205078,30.9122066497803,2,146,"Afghanistan",NA
"154",66.3133773803711,29.9685554504395,2,154,"Afghanistan",NA
"162",65.0955047607422,29.5594749450684,2,162,"Afghanistan",NA
"170",64.1179733276367,29.4142570495605,2,170,"Afghanistan",NA
"178",61.2244148254395,29.7494144439697,2,178,"Afghanistan",NA
"186",61.7550811767578,31.2853031158447,2,186,"Afghanistan",NA
"194",60.7875022888184,31.877197265625,2,194,"Afghanistan",NA
"202",60.560546875,33.1378402709961,2,202,"Afghanistan",NA
"210",60.5738258361816,33.5883293151855,2,210,"Afghanistan",NA
"218",60.8039093017578,34.4180183410645,2,218,"Afghanistan",NA
"226",60.9511756896973,34.6538543701172,2,226,"Afghanistan",NA
"234",61.1496124267578,35.09375,2,234,"Afghanistan",NA
"242",61.2455062866211,35.4740715026855,2,242,"Afghanistan",NA
"250",61.6209983825684,35.4323234558105,2,250,"Afghanistan",NA
"258",62.2711906433105,35.1891098022461,2,258,"Afghanistan",NA
"266",62.8580055236816,35.3496589660645,2,266,"Afghanistan",NA
"274",63.1085929870605,35.8186988830566,2,274,"Afghanistan",NA
"282",64.0096740722656,36.0121116638184,2,282,"Afghanistan",NA
"290",64.6025390625,36.5545425415039,2,290,"Afghanistan",NA
"298",65.5549774169922,37.2511711120605,2,298,"Afghanistan",NA
"306",66.3502960205078,37.3681640625,2,306,"Afghanistan",NA
"314",67.5172882080078,37.2666511535645,2,314,"Afghanistan",NA
"322",67.9580078125,36.9720230102539,2,322,"Afghanistan",NA
"330",68.6370162963867,37.2244644165039,2,330,"Afghanistan",NA
"338",68.9118118286133,37.3339385986328,2,338,"Afghanistan",NA
"346",69.4296875,37.2908706665039,2,346,"Afghanistan",NA
"354",70.0447235107422,37.5472183227539,2,354,"Afghanistan",NA
"362",70.3132781982422,37.9848136901855,2,362,"Afghanistan",NA
"370",71.3327102661133,38.1702613830566,2,370,"Afghanistan",NA
"378",71.5803680419922,37.8642578125,2,378,"Afghanistan",NA
"386",71.5974578857422,36.73291015625,2,386,"Afghanistan",NA
"394",72.7570343017578,37.1727066040039,2,394,"Afghanistan",NA
"402",73.7206115722656,37.4187507629395,2,402,"Afghanistan",NA
"410",74.0777282714844,37.3162117004395,2,410,"Afghanistan",NA
"418",74.7305679321289,37.3570289611816,2,418,"Afghanistan",NA
"10303",91.9486312866211,21.6825695037842,190,10303,"Bangladesh","Maiskhal"
"10312",91.861328125,21.9266586303711,191,10312,"Bangladesh","Kutubdia"
"10321",91.1507797241211,22.1751956939697,192,10321,"Bangladesh","3"
"10330",91.5230484008789,22.49072265625,193,10330,"Bangladesh","Sandwip"
"10339",90.6492156982422,22.5406742095947,194,10339,"Bangladesh","5"
"10347",90.69921875,22.7135257720947,194,10347,"Bangladesh","5"
"10356",90.6039047241211,22.945556640625,195,10356,"Bangladesh","6"
"10365",92.5934600830078,21.4673347473145,196,10365,"Bangladesh",NA
"10373",92.33056640625,21.4397945404053,196,10373,"Bangladesh",NA
"10381",92.2862319946289,20.9315910339355,196,10381,"Bangladesh",NA
"10389",92.0080108642578,21.6847667694092,196,10389,"Bangladesh",NA
"10397",91.7340850830078,22.4066905975342,196,10397,"Bangladesh",NA
"10405",91.1513671875,22.6140632629395,196,10405,"Bangladesh",NA
"10413",90.60400390625,23.5913581848145,196,10413,"Bangladesh",NA
"10421",90.5227508544922,23.3461437225342,196,10421,"Bangladesh",NA
"10429",90.4616241455078,22.8817882537842,196,10429,"Bangladesh",NA
"10437",90.6161117553711,22.3621597290039,196,10437,"Bangladesh",NA
"10445",90.1307601928711,21.847412109375,196,10445,"Bangladesh",NA
"10453",89.9180679321289,22.1161632537842,196,10453,"Bangladesh",NA
"10461",89.8119125366211,21.9834957122803,196,10461,"Bangladesh",NA
"10469",89.4693374633789,22.2129402160645,196,10469,"Bangladesh",NA
"10477",89.0939407348633,21.8727531433105,196,10477,"Bangladesh",NA
"10485",88.9234313964844,22.6875495910645,196,10485,"Bangladesh",NA
"10493",88.7040023803711,23.2928218841553,196,10493,"Bangladesh",NA
"10501",88.6998062133789,24.0025405883789,196,10501,"Bangladesh",NA
"10509",88.3375015258789,24.453857421875,196,10509,"Bangladesh",NA
"10517",88.1498031616211,24.9146480560303,196,10517,"Bangladesh",NA
"10525",88.74755859375,25.1689453125,196,10525,"Bangladesh",NA
"10533",88.79541015625,25.4562492370605,196,10533,"Bangladesh",NA
"10541",88.1066436767578,25.8411140441895,196,10541,"Bangladesh",NA
"10549",88.4404296875,26.3694820404053,196,10549,"Bangladesh",NA
"10557",88.5182647705078,26.5177745819092,196,10557,"Bangladesh",NA
"10565",88.9407196044922,26.245361328125,196,10565,"Bangladesh",NA
"10573",89.0667953491211,26.3769054412842,196,10573,"Bangladesh",NA
"10581",89.5914077758789,26.0724124908447,196,10581,"Bangladesh",NA
"10589",89.8249053955078,25.5601558685303,196,10589,"Bangladesh",NA
"10597",90.2503890991211,25.1849613189697,196,10597,"Bangladesh",NA
"10605",91.4796905517578,25.1421375274658,196,10605,"Bangladesh",NA
"10613",92.4431610107422,24.8494129180908,196,10613,"Bangladesh",NA
"10621",92.1019515991211,24.4080562591553,196,10621,"Bangladesh",NA
"10629",91.84619140625,24.17529296875,196,10629,"Bangladesh",NA
"10637",91.3670959472656,24.093505859375,196,10637,"Bangladesh",NA
"10645",91.3152389526367,23.1043949127197,196,10645,"Bangladesh",NA
"10653",91.4713897705078,23.1412601470947,196,10653,"Bangladesh",NA
"10661",91.7542037963867,23.2873039245605,196,10661,"Bangladesh",NA
"10669",92.1270523071289,23.7209968566895,196,10669,"Bangladesh",NA
"10677",92.3616256713867,22.9290027618408,196,10677,"Bangladesh",NA
"10685",92.5749053955078,21.9780769348145,196,10685,"Bangladesh",NA
"14116",91.6581039428711,27.4936027526855,242,14116,"Bhutan",NA
"14124",92.0025405883789,27.1473636627197,242,14124,"Bhutan",NA
"14132",91.9437484741211,26.86083984375,242,14132,"Bhutan",NA
"14140",91.2865219116211,26.7899417877197,242,14140,"Bhutan",NA
"14148",90.2423858642578,26.8541507720947,242,14148,"Bhutan",NA
"14156",89.6091766357422,26.76220703125,242,14156,"Bhutan",NA
"14164",88.9191360473633,26.9322261810303,242,14164,"Bhutan",NA
"14172",88.8914108276367,27.3160648345947,242,14172,"Bhutan",NA
"14180",89.5369186401367,28.107421875,242,14180,"Bhutan",NA
"14188",90.3482360839844,28.2439460754395,242,14188,"Bhutan",NA
"14196",90.7157211303711,28.0717296600342,242,14196,"Bhutan",NA
"14204",91.3068389892578,28.0640144348145,242,14204,"Bhutan",NA
"50613",93.7092819213867,7.0006833076477,826,50613,"India","Great Nicobar"
"50622",93.7335968017578,7.35649347305298,827,50622,"India","Little Nicobar"
"50631",93.3650360107422,7.87656211853027,828,50631,"India","Katchall Island"
"50640",93.5369110107422,8.056640625,829,50640,"India","Trinkat Island"
"50648",93.5316390991211,8.21376991271973,829,50648,"India","Trinkat Island"
"50657",73.0260772705078,8.27529335021973,830,50657,"India","Minicoy Island"
"50666",93.1407241821289,8.24951171875,831,50666,"India","Tarasa Dwip"
"50675",92.7435531616211,9.13095760345459,832,50675,"India","Car Nicobar Island"
"50684",92.5028305053711,10.5548830032349,833,50684,"India","Little Andaman Island"
"50692",92.5540008544922,10.7998046875,833,50692,"India","Little Andaman Island"
"50701",72.7958984375,11.2604484558105,834,50701,"India","Kadmat Island"
